new_order_id,mid_index,Location_idx,Location,Copyright,Date,Latitude,Longitude,PanoID,Status,Google Location,dist_to_start_point,points,SWEREF_Points
85,2510,144690,"59.33187503773585, 18.067942725746267",© Google,2023-03,59.33188087729262,18.06816909903995,JTArcZl5xT1STck-K42EQQ,OK,"59.33188087729262, 18.06816909903995",776.6354845002193,POINT (18.06816909903995 59.33188087729262),POINT (674534.1229594997 6581029.077787786)
86,2547,127170,"59.31930779245283, 18.061081417910447",© Google,2023-03,59.31932458683084,18.06115369541731,nHAMuKBVtVm_iA2whLyvPw,OK,"59.31932458683084, 18.06115369541731",780.258013620965,POINT (18.06115369541731 59.31932458683084),POINT (674199.4990631477 6579613.444789578)
87,2555,123904,"59.3299899509434, 18.059849901119403",© Google,2023-04,59.32996127753373,18.05977773864201,n3AImc1GzFvdEaR76pz_fg,OK,"59.32996127753373, 18.05977773864201",781.4830634588831,POINT (18.05977773864201 59.32996127753373),POINT (674066.8163153003 6580793.497110522)
88,2615,160183,"59.3182306, 18.073924378731345",© Google,2023-03,59.3182472084313,18.07390581822569,cm27iqK2QJQrzTrOumYqqA,OK,"59.3182472084313, 18.07390581822569",788.8701487401812,POINT (18.07390581822569 59.3182472084313),POINT (674930.3812989591 6579526.985025855)
89,2679,151482,"59.33196480377359, 18.070581690298507",© Google,2012-07,59.3320520815048,18.07052705956838,wYDEqLsPV_HsyNZDDhwwiw,OK,"59.3320520815048, 18.07052705956838",795.5678261736525,POINT (18.07052705956838 59.3320520815048),POINT (674667.3159085113 6581054.312971232)
90,2685,132547,"59.31849989811321, 18.063192589552237",© Google,2023-03,59.31847684819581,18.06337117157659,zbw0hC5FUWoE7ieWIFdafw,OK,"59.31847684819581, 18.06337117157659",796.1219028251195,POINT (18.06337117157659 59.31847684819581),POINT (674329.9720712786 6579524.911826822)
91,2777,116832,"59.328733226415096, 18.057210936567163",© Google,2019-05,59.32873896788188,18.05727911574087,v8l-PcMHQzYTkbwOa9-7jA,OK,"59.32873896788188, 18.05727911574087",807.5610597615979,POINT (18.05727911574087 59.32873896788188),POINT (673930.9862244765 6580650.948586428)
92,2793,142287,"59.31760223773585, 18.06706307089552",© Google,2023-03,59.31771238392785,18.06770672718882,2wom3DA-gDqRy3e_6snnWg,OK,"59.31771238392785, 18.06770672718882",810.1428656623436,POINT (18.06770672718882 59.31771238392785),POINT (674580.5072541309 6579451.201190662)
93,2826,152780,"59.31769200377359, 18.071109483208954",© Google,2023-03,59.31770383288069,18.07152609241103,bHrLMVKQjfK3pJE5rTYw8w,OK,"59.31770383288069, 18.07152609241103",815.0654112213952,POINT (18.07152609241103 59.31770383288069),POINT (674797.8080958762 6579460.269342387)
94,2840,166937,"59.3312466754717, 18.076387412313434",© Google,2022-08,59.33130414049324,18.07650375496156,vXZSwXr7XyiqUEQWVUxfFw,OK,"59.33130414049324, 18.07650375496156",817.8725147845076,POINT (18.07650375496156 59.33130414049324),POINT (675010.9919621598 6580986.777516194)
95,2850,186322,"59.324783520754714, 18.083600582089552",© Google,2022-06,59.3248188969341,18.08373626280151,23ApHENXlUP-yFZOh-WH6Q,OK,"59.3248188969341, 18.08373626280151",818.8536281908872,POINT (18.08373626280151 59.3248188969341),POINT (675455.67207667 6580284.140763049)
