Location_idx,Location,Unnamed: 2
13506,"59.33492708301887, 18.004959438432834",
13517,"59.33591450943396, 18.004959438432834",
13518,"59.3360042754717, 18.004959438432834",
13519,"59.33609404150943, 18.004959438432834",
13531,"59.33744053207547, 18.004959438432834",
13574,"59.30476569433962, 18.005135369402986",
13618,"59.31589668301887, 18.005135369402986",
13769,"59.3347475509434, 18.005135369402986",
13770,"59.33483731698113, 18.005135369402986",
13771,"59.33492708301887, 18.005135369402986",
13782,"59.33591450943396, 18.005135369402986",
13783,"59.3360042754717, 18.005135369402986",
13784,"59.33609404150943, 18.005135369402986",
13887,"59.31589668301887, 18.005311300373133",
14038,"59.33483731698113, 18.005311300373133",
14039,"59.33492708301887, 18.005311300373133",
14050,"59.33591450943396, 18.005311300373133",
14051,"59.3360042754717, 18.005311300373133",
14052,"59.33609404150943, 18.005311300373133",
14309,"59.33483731698113, 18.00548723134328",
14310,"59.33492708301887, 18.00548723134328",
14311,"59.3350168490566, 18.00548723134328",
14320,"59.33582474339622, 18.00548723134328",
14321,"59.33591450943396, 18.00548723134328",
14322,"59.3360042754717, 18.00548723134328",
14580,"59.33483731698113, 18.005663162313432",
14581,"59.33492708301887, 18.005663162313432",
14582,"59.3350168490566, 18.005663162313432",
14590,"59.33573497735849, 18.005663162313432",
14591,"59.33582474339622, 18.005663162313432",
14592,"59.33591450943396, 18.005663162313432",
14593,"59.3360042754717, 18.005663162313432",
14856,"59.33492708301887, 18.00583909328358",
14857,"59.3350168490566, 18.00583909328358",
14858,"59.33510661509434, 18.00583909328358",
14859,"59.33519638113208, 18.00583909328358",
14864,"59.33564521132075, 18.00583909328358",
14865,"59.33573497735849, 18.00583909328358",
14866,"59.33582474339622, 18.00583909328358",
14867,"59.33591450943396, 18.00583909328358",
15129,"59.33492708301887, 18.00601502425373",
15130,"59.3350168490566, 18.00601502425373",
15131,"59.33510661509434, 18.00601502425373",
15132,"59.33519638113208, 18.00601502425373",
15133,"59.33528614716981, 18.00601502425373",
15134,"59.33537591320755, 18.00601502425373",
15135,"59.33546567924528, 18.00601502425373",
15136,"59.33555544528302, 18.00601502425373",
15137,"59.33564521132075, 18.00601502425373",
15138,"59.33573497735849, 18.00601502425373",
15139,"59.33582474339622, 18.00601502425373",
15140,"59.33591450943396, 18.00601502425373",
15405,"59.33492708301887, 18.00619095522388",
15406,"59.3350168490566, 18.00619095522388",
15407,"59.33510661509434, 18.00619095522388",
15408,"59.33519638113208, 18.00619095522388",
15409,"59.33528614716981, 18.00619095522388",
15410,"59.33537591320755, 18.00619095522388",
15411,"59.33546567924528, 18.00619095522388",
15412,"59.33555544528302, 18.00619095522388",
15413,"59.33564521132075, 18.00619095522388",
15414,"59.33573497735849, 18.00619095522388",
15415,"59.33582474339622, 18.00619095522388",
15416,"59.33591450943396, 18.00619095522388",
15417,"59.3360042754717, 18.00619095522388",
15683,"59.3350168490566, 18.00636688619403",
15684,"59.33510661509434, 18.00636688619403",
15685,"59.33519638113208, 18.00636688619403",
15686,"59.33528614716981, 18.00636688619403",
15687,"59.33537591320755, 18.00636688619403",
15688,"59.33546567924528, 18.00636688619403",
15689,"59.33555544528302, 18.00636688619403",
15690,"59.33564521132075, 18.00636688619403",
15691,"59.33573497735849, 18.00636688619403",
15692,"59.33582474339622, 18.00636688619403",
15693,"59.33591450943396, 18.00636688619403",
15694,"59.3360042754717, 18.00636688619403",
15965,"59.3350168490566, 18.006542817164178",
15966,"59.33510661509434, 18.006542817164178",
15967,"59.33519638113208, 18.006542817164178",
15968,"59.33528614716981, 18.006542817164178",
15969,"59.33537591320755, 18.006542817164178",
15970,"59.33546567924528, 18.006542817164178",
15971,"59.33555544528302, 18.006542817164178",
15972,"59.33564521132075, 18.006542817164178",
15973,"59.33573497735849, 18.006542817164178",
15974,"59.33582474339622, 18.006542817164178",
15975,"59.33591450943396, 18.006542817164178",
15976,"59.3360042754717, 18.006542817164178",
15977,"59.33609404150943, 18.006542817164178",
16208,"59.331336441509436, 18.00671874813433",
16249,"59.3350168490566, 18.00671874813433",
16250,"59.33510661509434, 18.00671874813433",
16251,"59.33519638113208, 18.00671874813433",
16252,"59.33528614716981, 18.00671874813433",
16253,"59.33537591320755, 18.00671874813433",
16254,"59.33546567924528, 18.00671874813433",
16255,"59.33555544528302, 18.00671874813433",
16256,"59.33564521132075, 18.00671874813433",
16257,"59.33573497735849, 18.00671874813433",
16258,"59.33582474339622, 18.00671874813433",
16259,"59.33591450943396, 18.00671874813433",
16260,"59.3360042754717, 18.00671874813433",
16261,"59.33609404150943, 18.00671874813433",
16262,"59.33618380754717, 18.00671874813433",
16267,"59.336632637735846, 18.00671874813433",
16534,"59.33492708301887, 18.006894679104477",
16535,"59.3350168490566, 18.006894679104477",
16536,"59.33510661509434, 18.006894679104477",
16537,"59.33519638113208, 18.006894679104477",
16538,"59.33528614716981, 18.006894679104477",
16539,"59.33537591320755, 18.006894679104477",
16540,"59.33546567924528, 18.006894679104477",
16541,"59.33555544528302, 18.006894679104477",
16542,"59.33564521132075, 18.006894679104477",
16543,"59.33573497735849, 18.006894679104477",
16544,"59.33582474339622, 18.006894679104477",
16545,"59.33591450943396, 18.006894679104477",
16546,"59.3360042754717, 18.006894679104477",
16547,"59.33609404150943, 18.006894679104477",
16548,"59.33618380754717, 18.006894679104477",
16549,"59.336273573584904, 18.006894679104477",
16550,"59.33636333962264, 18.006894679104477",
16551,"59.336453105660375, 18.006894679104477",
16552,"59.336542871698114, 18.006894679104477",
16553,"59.336632637735846, 18.006894679104477",
16554,"59.336722403773585, 18.006894679104477",
16822,"59.33492708301887, 18.007070610074624",
16823,"59.3350168490566, 18.007070610074624",
16824,"59.33510661509434, 18.007070610074624",
16825,"59.33519638113208, 18.007070610074624",
16826,"59.33528614716981, 18.007070610074624",
16827,"59.33537591320755, 18.007070610074624",
16828,"59.33546567924528, 18.007070610074624",
16829,"59.33555544528302, 18.007070610074624",
16830,"59.33564521132075, 18.007070610074624",
16831,"59.33573497735849, 18.007070610074624",
16832,"59.33582474339622, 18.007070610074624",
16833,"59.33591450943396, 18.007070610074624",
16834,"59.3360042754717, 18.007070610074624",
16835,"59.33609404150943, 18.007070610074624",
16836,"59.33618380754717, 18.007070610074624",
16837,"59.336273573584904, 18.007070610074624",
16838,"59.33636333962264, 18.007070610074624",
16839,"59.336453105660375, 18.007070610074624",
16840,"59.336542871698114, 18.007070610074624",
16841,"59.336632637735846, 18.007070610074624",
16842,"59.336722403773585, 18.007070610074624",
17112,"59.33483731698113, 18.007246541044776",
17113,"59.33492708301887, 18.007246541044776",
17114,"59.3350168490566, 18.007246541044776",
17115,"59.33510661509434, 18.007246541044776",
17116,"59.33519638113208, 18.007246541044776",
17117,"59.33528614716981, 18.007246541044776",
17118,"59.33537591320755, 18.007246541044776",
17119,"59.33546567924528, 18.007246541044776",
17120,"59.33555544528302, 18.007246541044776",
17121,"59.33564521132075, 18.007246541044776",
17122,"59.33573497735849, 18.007246541044776",
17123,"59.33582474339622, 18.007246541044776",
17124,"59.33591450943396, 18.007246541044776",
17125,"59.3360042754717, 18.007246541044776",
17126,"59.33609404150943, 18.007246541044776",
17127,"59.33618380754717, 18.007246541044776",
17128,"59.336273573584904, 18.007246541044776",
17129,"59.33636333962264, 18.007246541044776",
17130,"59.336453105660375, 18.007246541044776",
17131,"59.336542871698114, 18.007246541044776",
17132,"59.336632637735846, 18.007246541044776",
17133,"59.336722403773585, 18.007246541044776",
17388,"59.333670358490565, 18.007422472014923",
17389,"59.333760124528304, 18.007422472014923",
17399,"59.33465778490566, 18.007422472014923",
17400,"59.3347475509434, 18.007422472014923",
17401,"59.33483731698113, 18.007422472014923",
17402,"59.33492708301887, 18.007422472014923",
17403,"59.3350168490566, 18.007422472014923",
17404,"59.33510661509434, 18.007422472014923",
17405,"59.33519638113208, 18.007422472014923",
17406,"59.33528614716981, 18.007422472014923",
17407,"59.33537591320755, 18.007422472014923",
17408,"59.33546567924528, 18.007422472014923",
17409,"59.33555544528302, 18.007422472014923",
17410,"59.33564521132075, 18.007422472014923",
17411,"59.33573497735849, 18.007422472014923",
17412,"59.33582474339622, 18.007422472014923",
17413,"59.33591450943396, 18.007422472014923",
17414,"59.3360042754717, 18.007422472014923",
17415,"59.33609404150943, 18.007422472014923",
17416,"59.33618380754717, 18.007422472014923",
17417,"59.336273573584904, 18.007422472014923",
17418,"59.33636333962264, 18.007422472014923",
17419,"59.336453105660375, 18.007422472014923",
17420,"59.336542871698114, 18.007422472014923",
17421,"59.336632637735846, 18.007422472014923",
17422,"59.336722403773585, 18.007422472014923",
17423,"59.336812169811324, 18.007422472014923",
17680,"59.33358059245283, 18.007598402985074",
17681,"59.333670358490565, 18.007598402985074",
17692,"59.33465778490566, 18.007598402985074",
17693,"59.3347475509434, 18.007598402985074",
17694,"59.33483731698113, 18.007598402985074",
17695,"59.33492708301887, 18.007598402985074",
17696,"59.3350168490566, 18.007598402985074",
17697,"59.33510661509434, 18.007598402985074",
17698,"59.33519638113208, 18.007598402985074",
17699,"59.33528614716981, 18.007598402985074",
17700,"59.33537591320755, 18.007598402985074",
17701,"59.33546567924528, 18.007598402985074",
17702,"59.33555544528302, 18.007598402985074",
17703,"59.33564521132075, 18.007598402985074",
17704,"59.33573497735849, 18.007598402985074",
17705,"59.33582474339622, 18.007598402985074",
17706,"59.33591450943396, 18.007598402985074",
17707,"59.3360042754717, 18.007598402985074",
17708,"59.33609404150943, 18.007598402985074",
17709,"59.33618380754717, 18.007598402985074",
17710,"59.336273573584904, 18.007598402985074",
17711,"59.33636333962264, 18.007598402985074",
17712,"59.336453105660375, 18.007598402985074",
17713,"59.336542871698114, 18.007598402985074",
17714,"59.336632637735846, 18.007598402985074",
17715,"59.336722403773585, 18.007598402985074",
17716,"59.336812169811324, 18.007598402985074",
17717,"59.336901935849056, 18.007598402985074",
17974,"59.333670358490565, 18.007774333955222",
17985,"59.33465778490566, 18.007774333955222",
17986,"59.3347475509434, 18.007774333955222",
17987,"59.33483731698113, 18.007774333955222",
17988,"59.33492708301887, 18.007774333955222",
17989,"59.3350168490566, 18.007774333955222",
17990,"59.33510661509434, 18.007774333955222",
17991,"59.33519638113208, 18.007774333955222",
17992,"59.33528614716981, 18.007774333955222",
17993,"59.33537591320755, 18.007774333955222",
17994,"59.33546567924528, 18.007774333955222",
17995,"59.33555544528302, 18.007774333955222",
17996,"59.33564521132075, 18.007774333955222",
17997,"59.33573497735849, 18.007774333955222",
17998,"59.33582474339622, 18.007774333955222",
17999,"59.33591450943396, 18.007774333955222",
18000,"59.3360042754717, 18.007774333955222",
18001,"59.33609404150943, 18.007774333955222",
18002,"59.33618380754717, 18.007774333955222",
18003,"59.336273573584904, 18.007774333955222",
18004,"59.33636333962264, 18.007774333955222",
18005,"59.336453105660375, 18.007774333955222",
18006,"59.336542871698114, 18.007774333955222",
18007,"59.336632637735846, 18.007774333955222",
18008,"59.336722403773585, 18.007774333955222",
18009,"59.336812169811324, 18.007774333955222",
18010,"59.336901935849056, 18.007774333955222",
18011,"59.336991701886795, 18.007774333955222",
18266,"59.333670358490565, 18.007950264925373",
18267,"59.333760124528304, 18.007950264925373",
18277,"59.33465778490566, 18.007950264925373",
18278,"59.3347475509434, 18.007950264925373",
18279,"59.33483731698113, 18.007950264925373",
18280,"59.33492708301887, 18.007950264925373",
18281,"59.3350168490566, 18.007950264925373",
18282,"59.33510661509434, 18.007950264925373",
18283,"59.33519638113208, 18.007950264925373",
18284,"59.33528614716981, 18.007950264925373",
18285,"59.33537591320755, 18.007950264925373",
18286,"59.33546567924528, 18.007950264925373",
18287,"59.33555544528302, 18.007950264925373",
18288,"59.33564521132075, 18.007950264925373",
18289,"59.33573497735849, 18.007950264925373",
18290,"59.33582474339622, 18.007950264925373",
18291,"59.33591450943396, 18.007950264925373",
18292,"59.3360042754717, 18.007950264925373",
18293,"59.33609404150943, 18.007950264925373",
18294,"59.33618380754717, 18.007950264925373",
18295,"59.336273573584904, 18.007950264925373",
18296,"59.33636333962264, 18.007950264925373",
18297,"59.336453105660375, 18.007950264925373",
18298,"59.336542871698114, 18.007950264925373",
18299,"59.336632637735846, 18.007950264925373",
18300,"59.336722403773585, 18.007950264925373",
18301,"59.336812169811324, 18.007950264925373",
18302,"59.336901935849056, 18.007950264925373",
18376,"59.305124758490564, 18.00812619589552",
18559,"59.333670358490565, 18.00812619589552",
18560,"59.333760124528304, 18.00812619589552",
18570,"59.33465778490566, 18.00812619589552",
18571,"59.3347475509434, 18.00812619589552",
18572,"59.33483731698113, 18.00812619589552",
18573,"59.33492708301887, 18.00812619589552",
18574,"59.3350168490566, 18.00812619589552",
18575,"59.33510661509434, 18.00812619589552",
18576,"59.33519638113208, 18.00812619589552",
18577,"59.33528614716981, 18.00812619589552",
18578,"59.33537591320755, 18.00812619589552",
18579,"59.33546567924528, 18.00812619589552",
18580,"59.33555544528302, 18.00812619589552",
18581,"59.33564521132075, 18.00812619589552",
18582,"59.33573497735849, 18.00812619589552",
18583,"59.33582474339622, 18.00812619589552",
18584,"59.33591450943396, 18.00812619589552",
18585,"59.3360042754717, 18.00812619589552",
18586,"59.33609404150943, 18.00812619589552",
18587,"59.33618380754717, 18.00812619589552",
18588,"59.336273573584904, 18.00812619589552",
18589,"59.33636333962264, 18.00812619589552",
18590,"59.336453105660375, 18.00812619589552",
18591,"59.336542871698114, 18.00812619589552",
18592,"59.336632637735846, 18.00812619589552",
18593,"59.336722403773585, 18.00812619589552",
18594,"59.336812169811324, 18.00812619589552",
18852,"59.333670358490565, 18.008302126865672",
18853,"59.333760124528304, 18.008302126865672",
18854,"59.333849890566036, 18.008302126865672",
18862,"59.33456801886793, 18.008302126865672",
18863,"59.33465778490566, 18.008302126865672",
18864,"59.3347475509434, 18.008302126865672",
18865,"59.33483731698113, 18.008302126865672",
18866,"59.33492708301887, 18.008302126865672",
18867,"59.3350168490566, 18.008302126865672",
18868,"59.33510661509434, 18.008302126865672",
18869,"59.33519638113208, 18.008302126865672",
18870,"59.33528614716981, 18.008302126865672",
18871,"59.33537591320755, 18.008302126865672",
18872,"59.33546567924528, 18.008302126865672",
18873,"59.33555544528302, 18.008302126865672",
18874,"59.33564521132075, 18.008302126865672",
18875,"59.33573497735849, 18.008302126865672",
18876,"59.33582474339622, 18.008302126865672",
18877,"59.33591450943396, 18.008302126865672",
18878,"59.3360042754717, 18.008302126865672",
18879,"59.33609404150943, 18.008302126865672",
18880,"59.33618380754717, 18.008302126865672",
18881,"59.336273573584904, 18.008302126865672",
18882,"59.33636333962264, 18.008302126865672",
18883,"59.336453105660375, 18.008302126865672",
